Code;Level;Beschrijving;Formula;SourceQty;UOM;UnitPerUOM;Waste;Consumption;Quantity;UnitCost;BaseCost;CostType;GrossTotal
09G0202;4;Maken;PUTVLOER.Edge Perimeter/4.5;19.0222222222222;uur;-;1;1.04;19.7831111111111;45;890.24;UIT-A;1041.5808
09G03;3;Wapening (100 kg/m3);PUTVLOER.Net Volume*100;3924.25;kg;-;1;1;3924.25;1.05;4748.3425;;5555.560725
09G0301;4;Wapening;PUTVLOER.Net Volume*100;3924.25;kg;-;1;1.1;4316.675;0.8;3453.34;MAT-A;4040.4078
09G0302;4;Aanbrengen;(PUTVLOER.Net Volume*100)/150;26.1616666666666;uur;-;1;1.1;28.7778333333333;45;1295.0025;UIT-A;1515.152925
09G04;3;Beton;PUTVLOER.Net Volume;39.2425;m3;-;1.05;1.1;45.3250875;91;4124.5829625;MAT-A;4825.762066125
09G05;3;Storten en afwerken;PUTVLOER.Net Top Surface Area;195.49;m2;-;1;1.05;205.2645;10;2052.645;WDD;2401.59465
09G06;3;Aanvoerkosten betonpomp;1;1;pst;-;1;1.05;1.05;360;378;MAT-E;442.26
12;1;BADENPUT;1;1;pst;-;1;1;1;0;117745.895069064;;137762.697230804
1201;2;Vloer;BADENVLOER.Net Top Surface Area;484.255035742188;m2;-;1;1;484.255035742188;0;35467.5559607483;;41497.0404740755
120101;3;Engineering;24;24;uur;-;1;1.05;25.2;78;1965.6;ENG-A;2299.752
120102;3;Randkist;BADENVLOER.Edge Perimeter;121.5000078125;m1;-;1;1;121.5000078125;14;2007.1801290625;;2348.40075100313
12010201;4;Materiaal;BADENVLOER.Edge Perimeter;121.5000078125;m1;-;1;1.02;123.93000796875;6;743.5800478125;MAT-A;869.988655940625
12010203;4;Maken;BADENVLOER.Edge Perimeter/4.5;27.0000017361111;uur;-;1;1.04;28.0800018055556;45;1263.60008125;UIT-A;1478.4120950625
120103;3;Wapening (120 kg/m3);BADENVLOER.Net Volume*120;11622.1208578125;kg;-;1;1;11622.1208578125;1.05;15852.5728500563;;18547.5102345658
12010301;4;Wapening;BADENVLOER.Net Volume*120;11622.1208578125;kg;-;1;1.1;12784.3329435938;0.94;12017.2729669781;MAT-A;14060.2093713644
12010302;4;Aanbrengen;(BADENVLOER.Net Volume*120)/150;77.4808057187501;uur;-;1;1.1;85.2288862906251;45;3835.29988307813;UIT-A;4487.30086320141
120104;3;Beton;BADENVLOER.Net Volume;96.8510071484376;m3;-;1.05;1.1;111.862913256445;91;10179.5251063365;MAT-A;11910.0443744137
120105;3;Storten en afwerken;BADENVLOER.Net Top Surface Area;484.255035742188;m2;-;1;1.05;508.467787529297;10;5084.67787529297;WDD;5949.07311409277
120106;3;Aanvoerkosten betonpomp;1;1;pst;-;1;1.05;1.05;360;378;MAT-E;442.26
1206;2;Wanden;Betonvulling HW KELDE.Net Reference Side Surface Area;277.239936562515;m2;-;1;1;277.239936562515;0;82278.3391083153;;96265.6567567289
120601;3;Engineering;24;24;uur;-;1;1.05;25.2;78;1965.6;ENG-A;2299.752
120602;3;Levering;Betonvulling HW KELDE.Net Reference Side Surface Area;277.239936562515;m2;-;1;1;277.239936562515;0;35478.0677046892;WDD;41509.3392144864
12060201;4;Levering;Betonvulling HW KELDE.Net Reference Side Surface Area;277.239936562515;m2;-;1;1.15;318.825927046892;100;31882.5927046892;;37302.6334644864
12060202;4;Toeslag wanden > 1.30 m1;481;481;m2;-;1;1.15;553.15;6.5;3595.475;;4206.70575
12060203;4;Dichtzetten koppen;0;0;m1;-;1;1.15;0;75;0;;0
120603;3;Stellen;Betonvulling HW KELDE.Net Reference Side Surface Area/1.8;154.022186979175;uur;-;1;1.1;169.424405677093;45;7624.09825546916;UIT-A;8920.19495889892
120604;3;Stelmaterieel;1;1;pst;-;1;1;1;0;14768.8567668672;;17279.5624172347
12060401;4;Stempels e.d.;Betonvulling HW KELDE.Net Reference Side Surface Area;277.239936562515;m2;-;1;1.05;291.101933390641;3.5;1018.85676686724;MAT-E;1192.06241723467
12060402;4;Steiger;1;1;pst;-;1;1.1;1.1;12500;13750;MAT-E;16087.5
120605;3;Wapening (120 kg/m3);Betonvulling HW KELDE.Net Volume*120;8982.57394462501;kg;-;1;1;8982.57394462501;1.2;12148.9312601053;;14214.2495743232
12060501;4;Wapening;Betonvulling HW KELDE.Net Volume*120;8982.57394462501;kg;-;1;1.1;9880.83133908751;0.8;7904.66507127001;MAT-A;9248.45813338591
12060502;4;Aanbrengen;(Betonvulling HW KELDE.Net Volume*120)/100;89.8257394462501;uur;-;1;1.05;94.3170264185626;45;4244.26618883532;UIT-A;4965.79144093732
120608;3;Vulbeton;Betonvulling HW KELDE.Net Volume*1.02;76.3518785293126;m3;-;1;1.05;80.1694724557782;91;7295.42199347582;MAT-A;8535.64373236671
120609;3;Storten;Betonvulling HW KELDE.Net Volume/1.18;63.4362566710806;uur;-;1;1.05;66.6080695046346;45;2997.36312770856;UIT-A;3506.91485941901
13;1;PLAATSEN INSTORTVOORZIENINGEN;1;1;pst;-;1;1;1;0;18008.2222115385;;21069.6199875
1301;2;Mantelbuizen;50;50;st;-;1;1;50;0;1204.35;;1409.0895
130101;3;Engineering;4;4;uur;-;1;1.05;4.2;78;327.6;ENG-A;383.292
130102;3;Mantelbuis (doorvoer) incl. extra wapening;50;50;st;-;1;1.05;52.5;11.5;603.75;MAT-A;706.3875
130103;3;Meerprijs (doorvoer) >125 incl. extra wapening;40;40;st;-;1;1.05;42;6.5;273;MAT-A;319.41
